Devices
1000
		Delsys Trigno - Voltage		
Frame	Sub Frame	EMG 1	EMG 2
		V	V
41	2	-0.0422668	0.0111389
41	3	-0.0300598	0.0126648
41	4	-0.0337219	0.0119019
41	5	-0.0326538	0.0138855
41	6	-0.0219727	0.00671387
41	7	-0.0270081	0.0112915
41	8	-0.0254822	0.00701904
41	9	-0.0532532	0.0125122
42	0	-0.0299072	0.00534058
42	1	-0.0343323	0.0152588
42	2	-0.000915527	0.00595093
42	3	-0.0132751	0.010376
42	4	-0.0134277	0.0131226
42	5	-0.0106812	0.0088501
42	6	-0.0146484	0.00350952
42	7	-0.025177	0.0132751
42	8	-0.0309753	0.0111389
42	9	-0.0256348	0.0088501
43	0	-0.0256348	0.0105286
43	1	-0.0205994	0.00823975
43	2	-0.00900269	0.00961304
43	3	-0.0119019	0.00946045
43	4	-0.0100708	0.0102234
43	5	-0.032959	0.012207
43	6	-0.0230408	0.0088501
43	7	-0.0428772	0.0161743
43	8	-0.0270081	0.0106812
43	9	-0.0390625	0.00488281
44	0	-0.00396729	0.00930786
44	1	0.0267029	0.00671387
44	2	0.0543213	0.0161743
44	3	0.0656128	0.00839233
44	4	0.0914001	0.00686646
44	5	0.10498	0.00762939
44	6	0.0999451	0.00106812
44	7	0.0636292	0.0105286
44	8	0.0309753	0.0132751
44	9	0.0346375	0.0038147
45	0	0.0212097	0.0106812
45	1	0.00488281	0.00930786
45	2	-0.0280762	0.01297
45	3	0.00106812	0.00335693
45	4	-0.0125122	0.00640869
45	5	-0.0111389	0.00106812
45	6	-0.0360107	0.0125122
45	7	-0.0195313	0.00762939
45	8	-0.00213623	0.0161743
45	9	-0.000762939	0.00808716
46	0	0.0163269	0.0088501
46	1	-0.040741	0.0062561
46	2	-0.0283813	-0.000915527
46	3	-0.0219727	0.00289917
46	4	-0.00701904	0.0170898
46	5	-0.0119019	0.0119019
46	6	0.0114441	0.00732422
46	7	0.00808716	0.0050354
46	8	-0.00976563	0.000305176
46	9	-0.00747681	0.0108337
47	0	-0.00686646	0.0138855
47	1	-0.00350952	0.0230408
47	2	0.00915527	0.0132751
47	3	0.012207	0.00427246
47	4	-0.0120544	0.0193787
47	5	0.00656128	0.00717163
47	6	0.0250244	0.00778198
47	7	0.0196838	0.0117493
47	8	-0.0106812	0.000762939
47	9	0.0201416	0.00839233
48	0	0.0050354	0.00854492
48	1	-0.0164795	0.00595093
48	2	0.0526428	0.00823975
48	3	-0.000915527	0.00198364
48	4	0.00671387	-0.000305176
48	5	-0.00305176	0.0164795
48	6	-0.0285339	0.0109863
48	7	-0.0164795	0.0167847
48	8	-0.0227356	0.0299072
48	9	-0.0184631	-0.00656128
49	0	-0.00244141	0.0050354
49	1	0.0306702	0.0128174
49	2	0.0241089	0.0186157
49	3	0.0343323	0.00213623
49	4	-0.00534058	0.0088501
49	5	-0.0292969	0.00961304
49	6	-0.045166	0.0195313
49	7	-0.0442505	0.00274658
49	8	-0.0297546	0.0114441
49	9	-0.0431824	0.0105286
50	0	0.027771	0.0112915
50	1	0.0271606	0.00717163
50	2	0.000915527	0.0164795
50	3	0.0128174	0.0050354
50	4	0.0152588	0.0212097
50	5	0.019989	0.00244141
50	6	0.00961304	0.0112915
50	7	0.025177	0.00671387
50	8	-0.0135803	0.00640869
50	9	-0.0543213	0.0134277
51	0	-0.00518799	0.0152588
51	1	-0.00411987	0.0184631
51	2	-0.0198364	-0.00396729
51	3	-0.0270081	0.00152588
51	4	-0.032959	0.00686646
51	5	-0.0247192	0.0154114
51	6	-0.0465393	0.00808716
51	7	-0.0378418	0.0134277
51	8	-0.050354	0.0109863
51	9	-0.0559998	0.017395
52	0	-0.0495911	0.015564
52	1	-0.0680542	0.0123596
52	2	-0.0370789	0.0141907
52	3	-0.0343323	0.00411987
52	4	-0.0112915	0.00137329
52	5	-0.01297	0.0126648
52	6	-0.0195313	0.0128174
52	7	-0.00183105	0.00930786
52	8	0.00244141	-0.00473022
52	9	-0.0408936	0.0050354
53	0	-0.045166	0.00778198
53	1	-0.0274658	0.017395
53	2	-0.0268555	-0.00274658
53	3	-0.0444031	0.0151062
53	4	-0.0444031	0.00549316
53	5	-0.0302124	0.00991821
53	6	-0.0457764	0.018158
53	7	-0.0314331	0.00961304
53	8	-0.0616455	0.0134277
53	9	0.0146484	0.0166321
54	0	-0.0233459	0.00534058
54	1	0.00686646	0.00274658
54	2	-0.0154114	0.00854492
54	3	0.0265503	0.0038147
54	4	0.0120544	0.00839233
54	5	0.000152588	-0.015564
54	6	-0.0119019	0.0132751
54	7	-0.0234985	0.01297
54	8	0.0276184	0.0115967
54	9	-0.0408936	0.017395
55	0	0.00289917	0.00366211
55	1	-0.0286865	0.020752
55	2	-0.0437927	0.00900269
55	3	-0.0405884	0.0178528
55	4	-0.0201416	0.0117493
55	5	-0.0386047	-0.000152588
55	6	-0.0505066	0.000152588
55	7	-0.0366211	0.0119019
55	8	-0.0299072	-0.00488281
55	9	-0.0331116	0.0193787
56	0	-0.0288391	0.0111389
56	1	-0.0169373	-0.00961304
56	2	-0.0274658	0.0132751
56	3	-0.0360107	0.00930786
56	4	-0.0227356	0.0141907
56	5	-0.00488281	-0.00762939
56	6	-0.00549316	0.0205994
56	7	0.00976563	0.00671387
56	8	0.0160217	0.0132751
56	9	0.0158691	0.0224304
57	0	0.0184631	0.00778198
57	1	0.0190735	0.00595093
57	2	0.0239563	0.00259399
57	3	0.0408936	0.00518799
57	4	0.0473022	0.0143433
57	5	0.0474548	0.0170898
57	6	0.0495911	0.0050354
57	7	0.0502014	0.0157166
57	8	0.0563049	0.00701904
57	9	0.0549316	0.0164795
58	0	0.0543213	0.0151062
58	1	0.0416565	0.0144958
58	2	0.0302124	-0.00244141
58	3	0.0285339	0.0123596
58	4	0.0160217	0.00747681
58	5	0.0195313	-0.0128174
58	6	0.0134277	0.00961304
58	7	-0.00411987	0.00534058
58	8	-0.00640869	0.0195313
58	9	-0.0112915	-0.00274658
59	0	-0.0166321	0.00595093
59	1	-0.0088501	-0.0111389
59	2	-0.0137329	0.00823975
59	3	-0.0140381	0.0256348
59	4	-0.00701904	-0.0186157
59	5	0.0012207	0.00762939
59	6	0.0177002	0.0135803
59	7	0.0108337	0.0178528
59	8	0.00579834	0.0108337
59	9	-0.00396729	0.0357056
60	0	-0.0117493	0.00167847
60	1	-0.0088501	-0.00442505
60	2	-0.0164795	0.0457764
60	3	-0.0144958	0.0158691
60	4	-0.00213623	0.00534058
60	5	0.00228882	0.00640869
60	6	0.000915527	0.00549316
60	7	-0.00213623	0.00213623
60	8	-0.0102234	0.00793457
60	9	-0.00793457	0.00717163
61	0	-0.00320435	0.00152588
61	1	-0.00564575	0.00320435
61	2	-0.0128174	0.0126648
61	3	-0.00656128	0.0062561
61	4	-0.000305176	0.0128174
61	5	-0.000457764	0.0012207
61	6	0.00808716	-0.00274658
61	7	0.0119019	-0.0111389
61	8	0.00274658	0.0227356
61	9	-0.0128174	0.00686646
62	0	-0.0308228	0.0138855
62	1	-0.0234985	0.00579834
62	2	-0.00747681	0.00259399
62	3	-0.0125122	0.00488281
62	4	-0.00900269	0.00274658
62	5	-0.00106812	-0.000762939
62	6	-0.00549316	0.0187683
62	7	-0.0109863	0.0205994
62	8	-0.0216675	0.00274658
62	9	-0.0131226	-0.00137329
63	0	-0.000915527	0.00213623
63	1	0.00427246	0.00747681
63	2	0.00274658	-0.00259399
63	3	-0.00549316	0.00961304
63	4	-0.0175476	0.0112915
63	5	-0.017395	-0.0219727
63	6	-0.00946045	0.0190735
63	7	0.00152588	0.00442505
63	8	0.0109863	-0.00152588
63	9	0.00579834	-0.00671387
64	0	-0.00274658	-0.00396729
64	1	-0.00717163	0.0274658
64	2	-0.00686646	0.0228882
64	3	-0.0088501	0.0514221
64	4	-0.0141907	-0.00839233
64	5	-0.0192261	-0.0201416
64	6	-0.00900269	0.0160217
64	7	0.00335693	-0.00686646
64	8	0.00167847	0.015564
64	9	0.0100708	0.018158
65	0	0.00991821	0.0228882
65	1	-0.00717163	-0.0062561
65	2	0.00213623	0.00747681
65	3	-0.0114441	0.0190735
65	4	-0.0241089	0.0202942
65	5	-0.0305176	-0.00137329
65	6	-0.0468445	-0.00579834
65	7	-0.0253296	0.0201416
65	8	-0.0143433	0.0146484
65	9	-0.00320435	0.0286865
66	0	-0.00656128	-0.00488281
66	1	-0.0132751	0.00228882
66	2	-0.0106812	0.00106812
66	3	-0.0143433	0.0314331
66	4	-0.0117493	0.0386047
66	5	0.00320435	0.00946045
66	6	0.0102234	0.00717163
66	7	0.0151062	0.0442505
66	8	0.0138855	-0.0137329
66	9	-0.0111389	0.0462341
67	0	-0.00473022	0.03479
67	1	0.0038147	-0.0204468
67	2	0.00610352	0.0126648
67	3	0.00396729	0.01297
67	4	0.0187683	0.0346375
67	5	0.0624084	0.00274658
67	6	0.0515747	0.00961304
67	7	-0.00411987	-0.00610352
67	8	-0.0334167	-0.0212097
67	9	-0.0683594	-0.0177002
68	0	-0.0622559	0.00930786
68	1	-0.0436401	0.0312805
68	2	0.00213623	0.00930786
68	3	0.087738	0.0132751
68	4	0.215302	0.0105286
68	5	0.25177	0.00457764
68	6	0.171051	0.0140381
68	7	0.085144	0.00839233
68	8	0.0363159	0.00808716
68	9	0.0364685	0.0146484
69	0	0.0648499	0.00808716
69	1	0.0868225	0.00793457
69	2	0.115814	0.00823975
69	3	0.131073	0.00534058
69	4	0.109711	0.00961304
69	5	0.0791931	0.00686646
69	6	0.0375366	0.010376
69	7	0.00106812	0.0114441
69	8	-0.0382996	0.00564575
69	9	-0.0787354	0.0128174
70	0	-0.0938416	0.00915527
70	1	-0.120392	0.0109863
70	2	-0.139008	0.00915527
70	3	-0.145874	0.00808716
70	4	-0.154724	0.00778198
70	5	-0.160217	0.0088501
70	6	-0.17334	0.00915527
70	7	-0.173035	0.0106812
70	8	-0.166168	0.00686646
70	9	-0.177155	0.00930786
71	0	-0.16922	0.00854492
71	1	-0.167084	0.0123596
71	2	-0.157623	0.0135803
71	3	-0.156097	0.00946045
71	4	-0.151215	0.00930786
71	5	-0.122681	0.0114441
71	6	-0.114899	0.00549316
71	7	-0.120239	0.00915527
71	8	-0.153351	0.0102234
71	9	-0.183411	0.00305176
72	0	-0.206146	0.0123596
72	1	-0.213776	0.00976563
72	2	-0.18631	0.0126648
72	3	-0.144196	0.0140381
72	4	-0.0839233	0.00854492
72	5	-0.0193787	0.0112915
72	6	0.0390625	0.00671387
72	7	0.0727844	0.00686646
72	8	0.109863	0.00808716
72	9	0.14267	0.00839233
73	0	0.144196	0.0135803
73	1	0.141449	0.0100708
73	2	0.149536	0.00839233
73	3	0.146179	0.00823975
73	4	0.136261	0.00671387
73	5	0.127258	0.0126648
73	6	0.129395	0.0108337
73	7	0.132599	0.014801
73	8	0.137177	0.010376
73	9	0.138855	0.00717163
74	0	0.122986	0.0111389
74	1	0.121765	0.01297
74	2	0.106506	0.00793457
74	3	0.0967407	0.00991821
74	4	0.0956726	0.00671387
74	5	0.0827026	0.0120544
74	6	0.0813293	0.000457764
74	7	0.0636292	0.0088501
74	8	0.0457764	0.00930786
74	9	0.0427246	0.00518799
75	0	0.0221252	0.00991821
75	1	0.0152588	0.00854492
75	2	0.0120544	0.0106812
75	3	0.00595093	0.0109863
75	4	0.00717163	0.00762939
75	5	0.00579834	0.00976563
75	6	0.00946045	0.00640869
75	7	0.0100708	0.00915527
75	8	0.0109863	0.0109863
75	9	0.00930786	0.00869751
76	0	-0.0100708	0.0108337
76	1	-0.0146484	0.00839233
76	2	-0.0111389	0.00747681
76	3	-0.00961304	0.0126648
76	4	-0.00534058	0.00335693
76	5	-0.0189209	0.00869751
76	6	-0.000457764	0.0100708
76	7	-0.00854492	0.0111389
76	8	-0.0123596	0.0106812
76	9	0.000762939	0.0100708
77	0	0.00473022	0.0126648
77	1	0.0119019	0.00778198
77	2	0.0337219	0.00671387
77	3	0.0474548	0.0111389
77	4	0.0646973	0.00793457
77	5	0.0706482	0.0111389
77	6	0.0660706	0.0138855
77	7	0.0674438	0.00823975
77	8	0.0653076	0.0106812
77	9	0.0772095	0.00900269
78	0	0.0811768	0.00823975
78	1	0.0721741	0.0105286
78	2	0.0735474	0.00839233
78	3	0.0650024	0.00930786
78	4	0.0660706	0.0088501
78	5	0.0434875	0.00976563
78	6	0.0404358	0.0128174
78	7	0.0267029	0.00762939
78	8	0.00488281	0.00579834
78	9	-0.0100708	0.00854492
79	0	-0.0390625	0.0108337
79	1	-0.0662231	0.0108337
79	2	-0.0848389	0.00762939
79	3	-0.117645	0.010376
79	4	-0.131226	0.00579834
79	5	-0.147858	0.00579834
79	6	-0.162659	0.0123596
79	7	-0.181122	0.00869751
79	8	-0.210114	0.0106812
79	9	-0.217438	0.0137329
80	0	-0.2005	0.00747681
80	1	-0.213165	0.0112915
80	2	-0.207062	0.00900269
80	3	-0.202942	0.0100708
80	4	-0.20462	0.0114441
80	5	-0.187073	0.00808716
80	6	-0.163422	0.0109863
80	7	-0.139923	0.0119019
80	8	-0.115814	0.0132751
80	9	-0.0912476	0.0117493
81	0	-0.0843811	0.00411987
81	1	-0.0920105	0.00869751
81	2	-0.0675964	0.0106812
81	3	-0.0402832	0.00976563
81	4	-0.0230408	0.0112915
81	5	-0.00778198	0.00762939
81	6	0.0170898	0.0105286
81	7	0.039978	0.00747681
81	8	0.0434875	0.00762939
81	9	0.0498962	0.00671387
82	0	0.0642395	0.00518799
82	1	0.072937	0.0140381
82	2	0.0906372	0.00732422
82	3	0.0990295	0.0100708
82	4	0.101624	0.0100708
82	5	0.100098	0.00228882
82	6	0.0889587	0.0108337
82	7	0.0959778	0.00915527
82	8	0.085144	0.0106812
82	9	0.0881958	0.0109863
83	0	0.100403	0.00823975
83	1	0.0799561	0.0111389
83	2	0.0817871	0.00534058
83	3	0.0828552	0.00930786
83	4	0.0672913	0.0108337
83	5	0.0610352	0.0062561
83	6	0.065918	0.0111389
83	7	0.0680542	0.00839233
83	8	0.0588989	0.00808716
83	9	0.0413513	0.0109863
84	0	0.0375366	0.00747681
84	1	0.0260925	0.010376
84	2	0.0163269	0.00656128
84	3	0.0135803	0.00656128
84	4	0.00610352	0.0126648
84	5	-0.00305176	0.00961304
84	6	0.00183105	0.0125122
84	7	0.00839233	0.00823975
84	8	-0.000762939	0.00976563
84	9	0.00198364	0.00839233
85	0	0.00823975	0.00717163
